,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,6.015969588615194e-13,-4.01899510943446e-14,2.7840012607812255e-12,4.909547705884901e-12,-2.106647024068408e-12,-3.6224337906323765e-13,-5.415816231496916e-13,-2.356651570714588e-12,6.197392891477467e-13,1.7145018557263507e-13,4.1707194219972835e-14,2.4889440261926882e-12,7.952391814079772e-12,-3.601740145947491e-12,-1.4507227170548963e-12,-9.629116477389607e-13,-3.756886788388502e-12,-2.4619626749389777e-12,1.5488700971705996e-13,-2.202874434259132e-13,3.3417277676363546e-12,6.2196975625528936e-12,-3.20528473150656e-12,-1.9962722300065547e-12,-2.8319129555385105e-12,-1.6084824325414899e-12,8.565372864773323e-14,-6.716016590267338e-14,-5.664506412601228e-13,2.902729732902311e-12,7.502725470760827e-12,-3.6346384843287797e-12,7.403184788724571e-13,-3.585205102904398e-13,-4.987129344819078e-13,-1.4267521608100763e-12,6.899681802772741e-15,-1.3713135116094879e-13,2.480509872834202e-12,7.37271211948974e-12,-1.0915097421604712e-12,1.8677885510420844e-12,2.0009623979332563e-12,-1.8062469044506089e-12,-3.8896514022561654e-13,-2.5388985776468186e-13,-9.893891992832916e-14,2.787961757412867e-12,2.4203291712704235e-12,3.5206200569029155e-12,3.765295376326213e-12,2.081581101329703e-12,1.1136356029852912e-12,2.5881122235731886e-12,-1.1270102767358885e-14,-1.0395888263572262e-12,2.5689185256758262e-12,1.5735542462484638e-12,1.8948924066595907e-12,2.3652095950224236e-12,2.3936533005412503e-12,3.7498598601529113e-13,1.6471055946965435e-12,3.413293343512588e-13,1.080718420959793e-12,-1.241095490071033e-12,-7.796803159995757e-12,-1.8214788844943163e-12,-1.4581909052135556e-12,4.648794800861221e-13,1.604232368031347e-12,1.7535582590987174e-12
treat_m3,-4.0189951094356605e-14,6.032986937869416e-13,-1.0925755596289082e-12,-2.7421740724456042e-12,1.5535825262109728e-12,-1.5323139417730189e-13,-6.404546848193089e-13,9.739819549917512e-13,1.9697725554406927e-13,1.4153935131487025e-13,3.1203171641340906e-13,-1.0167811778656108e-12,-4.7317069854597595e-12,1.870206397092323e-12,-5.602407162098736e-13,-7.958805025771381e-13,5.38153484989277e-13,1.540313347965822e-12,2.441128718639943e-13,6.87758096055005e-13,-1.4147028954439097e-12,-3.2328340672042335e-12,2.8686823050826993e-12,-2.2716417105961098e-13,3.769213942341944e-13,-1.0327169944834479e-13,-7.40366160803513e-13,4.374817535834553e-13,7.744783355115978e-13,-1.4513523595527601e-12,-4.1639801449226195e-12,2.952026871718827e-12,-5.976113753853506e-13,-3.8453927072351585e-13,-8.246091308494934e-13,1.5306617683860202e-12,1.9792437351910147e-13,4.567768725824669e-13,-1.1531980392579026e-12,-3.841523097003495e-12,2.7168789997237122e-12,-4.395188794725675e-13,-1.343193461609496e-12,1.3503874363687992e-12,1.134556172781645e-12,2.2719609189907332e-13,5.36700879064463e-15,-1.3662324159979333e-12,-1.282459233267343e-12,-6.3633297508427e-13,-1.5168555216606552e-12,-1.7656963071786295e-12,-7.419628398091052e-13,-1.1807590674144018e-12,1.5061639633960736e-13,8.067103781655545e-13,-1.2072416946678098e-12,-1.1214249313528468e-12,4.4645950467011297e-13,-1.6144963024882337e-12,-2.438454324622292e-12,1.1549833440756224e-13,-4.1951326932200566e-13,-3.7837139144635847e-13,-1.1030531190523464e-12,2.244838242830036e-13,4.0186459960362755e-12,-9.685768309057853e-13,-1.1469222515570026e-14,-3.935439066224271e-13,-1.4857598613890298e-12,-1.7878960628647606e-12
treat_m2,2.784001260781206e-12,-1.0925755596287624e-12,1.7903253838464724e-11,3.1123072004472987e-11,-1.496700222283578e-11,-1.5939084152731754e-12,4.791975998722883e-14,-1.4912638439373585e-11,1.82131163337173e-12,6.279929073592502e-13,-9.392809940870852e-14,1.636099251387251e-11,4.9369692081930246e-11,-2.3958086091960694e-11,-7.103788293502359e-12,-4.886821038497184e-12,-2.1877866871033365e-11,-1.5480896713173897e-11,2.938919092638134e-13,-2.081307268292607e-12,2.0789125057857328e-11,3.699865677151697e-11,-2.273690810279169e-11,-1.11209952385611e-11,-1.5856857162827326e-11,-1.1588278594235867e-11,-4.469940986424462e-13,-1.0333194546664093e-12,-3.644716337987595e-12,1.9047404506025994e-11,4.6793390579072654e-11,-2.344669689685084e-11,3.3121521206246986e-12,-1.774625068569351e-12,-4.099217283979242e-12,-1.0682989357532519e-11,-3.224607216762232e-13,-1.034800887245495e-12,1.671575629224072e-11,4.7645877048232355e-11,-9.812786464203267e-12,1.048344335492523e-11,1.2011533188489277e-11,-1.42833050990073e-11,-4.5911049923277465e-12,-1.4126998999305186e-12,-2.3234872442122857e-13,1.7273878395749683e-11,1.6148954501745355e-11,2.0697817820477e-11,2.2093011243912742e-11,1.3237903049950814e-11,4.868545666888068e-12,1.5831945831878776e-11,-5.24716259270116e-13,-6.2139140862432574e-12,1.6653307971388206e-11,1.04359589800536e-11,8.395578978197372e-12,1.5811564933362013e-11,1.5770157748045692e-11,2.3580719716998925e-12,8.386800515245205e-12,2.3298219338656367e-12,7.333613838689947e-12,-8.244525189131673e-12,-4.954043716639986e-11,-9.903287010672546e-12,-9.949420750517476e-12,1.2773978918324214e-12,9.955225957515198e-12,1.0030648633614482e-11
treat_m1,4.909547705884883e-12,-2.742174072445746e-12,3.112307200447346e-11,6.122261642816092e-11,-2.792595017436763e-11,-2.621298896739944e-12,5.852332915129299e-13,-2.593703853087272e-11,2.4401045582101382e-12,1.4148835947958604e-12,-2.46984885331685e-13,2.925015405962713e-11,9.663785161244686e-11,-4.478227512745169e-11,-1.041283188082879e-11,-9.446918333221939e-12,-3.844712692700573e-11,-2.7630571454110785e-11,4.859577911428189e-13,-4.533198833857417e-12,3.8909599028544154e-11,7.266287938428151e-11,-4.257982688167468e-11,-1.6662427986686373e-11,-2.7425519779955554e-11,-1.7436759341229018e-11,5.009792686019144e-13,-2.0354706511412233e-12,-7.37666337366303e-12,3.5554824975982865e-11,8.824443540195824e-11,-4.4393637095416997e-11,8.549837127053861e-12,-1.5014842516277683e-12,-7.202486477777684e-12,-2.041388907498905e-11,-2.144097528926412e-14,-2.0803544991549977e-12,3.054406255692042e-11,9.03858602660027e-11,-1.8766843291866492e-11,2.207115380580958e-11,2.52495176680845e-11,-2.415512982162004e-11,-8.005488332404522e-12,-2.9914415695823847e-12,-2.73557305475269e-13,3.1950120697421515e-11,3.0182387144451223e-11,3.647855420533503e-11,4.48465702173416e-11,2.638661250418144e-11,1.2464733533322038e-11,3.1426994077969616e-11,-1.058315914891659e-12,-1.233293328034674e-11,2.99707507658036e-11,2.121260481764887e-11,1.533823605890243e-11,3.1913092493274086e-11,3.116219622821293e-11,6.286836490380542e-12,1.498081409659511e-11,4.337416035103066e-12,1.4723959664488212e-11,-1.3616101151488496e-11,-9.372147273059542e-11,-1.6496379667265017e-11,-1.755647749204417e-11,4.0403704401358255e-12,2.1934569795223077e-11,2.3159086915817923e-11
treat_p0,-2.106647024068438e-12,1.5535825262108211e-12,-1.4967002222835968e-11,-2.7925950174368276e-11,2.6683863976650358e-11,1.2146779859441652e-11,3.975375897076902e-12,1.8249824626194306e-11,2.421001777715168e-12,-6.575901820899592e-13,1.7190980999595406e-13,-1.5169726178510696e-11,-4.407877193554354e-11,2.998406655975573e-11,1.2258879800158871e-11,7.488044398175388e-12,2.8205130815888607e-11,1.4568510755171662e-11,6.095510842909302e-14,2.2821560050382474e-12,-1.9567571593281397e-11,-3.4052704688609466e-11,2.8306319691369694e-11,2.0590666301278834e-11,1.9362107329251678e-11,1.3739583663650171e-11,3.284503341379644e-12,1.259147767855305e-12,3.342445354700995e-12,-1.7026688469590656e-11,-4.615006248505535e-11,2.3856790448289936e-11,2.4041286951172343e-12,3.3180792686791582e-12,7.947665657862357e-12,1.59535057593763e-11,8.62458982519028e-13,1.3747996368768375e-12,-1.483993095112011e-11,-4.8477336092025533e-11,1.7350932506466874e-11,-3.3896803358104343e-12,-7.330502604930809e-12,1.732714584006921e-11,1.1272768197306141e-11,1.3055386701160453e-12,-3.7505288000592687e-13,-1.7232458863207274e-11,-1.6149492725830655e-11,-1.46645243212524e-11,-1.9844675309923596e-11,-1.4838444783733656e-11,-5.485432985301755e-12,-1.7856565233010676e-11,3.0738184023400903e-13,5.507241121692678e-12,-1.5307822737128183e-11,-7.865499254023758e-12,-2.7294796885172787e-13,-1.2583659821105852e-11,-1.3886493197773067e-11,-1.5924389311142004e-12,-4.756078269379167e-12,-2.068951733712999e-12,-6.082763513638331e-12,9.04301961559145e-12,4.919001768764489e-11,4.360611212279641e-12,6.201045808820251e-12,-2.3228545179801307e-12,-1.1606207622357659e-11,-1.3791273921889928e-11
treat_p1,-3.62243379063238e-13,-1.5323139417734876e-13,-1.5939084152733263e-12,-2.6212988967397507e-12,1.2146779859441782e-11,1.2643349780729597e-11,6.425351766824794e-12,6.679929923807703e-12,1.867364223294373e-12,-2.388382215471782e-13,-3.3034308281743324e-13,-1.962547187663698e-12,-3.0357251689327692e-12,8.54670018507632e-12,8.038968442019256e-12,5.811441632907876e-12,1.2884247430407141e-11,1.4169385945854072e-12,-1.1659204691588827e-13,1.7794110586483734e-13,-2.746080695338391e-12,-4.859915641527497e-12,7.119676339526949e-12,1.4934306211745756e-11,7.249071111325565e-12,6.101371513746975e-12,3.2211145730035382e-12,1.2610256069049766e-13,3.113459147966069e-14,-1.075527717354576e-12,-8.191459976763809e-12,3.606112900758651e-12,6.271250105878121e-12,2.119401023608004e-12,5.931654614348072e-12,5.9514504835545895e-12,6.914417311197235e-13,1.6548616509370616e-13,-1.0944266413116615e-12,-9.078055735754329e-12,6.141902922720383e-12,6.754216538117019e-12,4.0206072918751624e-12,6.594402289902298e-12,6.767313459177357e-12,1.1672267127552759e-14,-4.647369694434408e-13,-4.267009637608378e-12,-3.432076222934394e-12,-4.679618140142774e-13,-1.0515627818830329e-12,-3.513349797109199e-12,-1.952082061232682e-12,-4.735212274285815e-12,-4.866058530843134e-13,2.4183143423646084e-13,-2.3267911447726033e-12,-7.429369908274118e-13,3.554910189110417e-12,2.1738634502885683e-12,-1.285558071776112e-12,5.746395302289331e-13,1.4448984485664715e-12,-2.248929700119784e-13,5.119689240104762e-13,2.6855522299766216e-12,8.422275993134422e-12,-1.3447030362233478e-12,-3.730561855082965e-12,-2.9749991382988812e-12,-4.524967363330716e-12,-4.97214781645073e-12
treat_p2,-5.415816231496591e-13,-6.404546848194074e-13,4.7919759987082994e-14,5.852332915129539e-13,3.975375897076897e-12,6.425351766824772e-12,1.4454645170068349e-11,6.391965193428818e-12,-1.6761324734005702e-12,-1.1051368050413976e-13,7.914469358813854e-15,3.071579314054417e-13,-2.9197587961820786e-12,6.28277772304322e-12,5.627085258360532e-12,8.502622315766303e-12,7.00789006757611e-12,-2.140704883502636e-12,-2.4400556708986654e-13,-3.618039464656663e-13,-1.9602151676310207e-12,-4.711395026127965e-12,1.5684819462452213e-12,5.016813394044988e-12,8.024522904884226e-12,1.3908419040634394e-12,-7.6245226667963e-13,-5.739266607222611e-13,-6.370270860252672e-13,-1.2199174604572456e-12,-5.145214920694492e-12,1.4992240141349958e-12,-1.6308081900927237e-13,7.629409617955489e-12,6.073781866667339e-12,4.944468084028227e-12,-4.089587052751831e-13,-1.0718661000642916e-12,-4.447761709414775e-13,-3.902092506250614e-12,-3.6524758885502636e-13,2.1053032783490215e-12,5.335017260083617e-12,7.418714505202079e-12,-9.346236364923999e-13,-4.328361343192851e-14,-3.2504519853227273e-13,-4.1223680053875335e-12,-1.435351588522226e-13,-1.5073831176819602e-12,-7.754398461947202e-13,2.4220755816913277e-12,5.471654952393407e-13,-2.3114165282908483e-13,-7.437595596127003e-13,6.922461905301198e-13,-1.1233777760289878e-12,-1.8901524020050686e-12,-4.502886571874344e-12,4.8309878250268076e-12,3.948456861216425e-12,2.1092480081189496e-12,-3.1816897250658156e-12,1.7621454958289775e-13,1.24613442405556e-12,2.027305528229158e-12,4.37223121365829e-12,3.1277953369456567e-12,-1.1320772623294687e-12,-5.220013199076972e-12,-3.603907313186187e-12,-3.696549624004496e-13
treat_p3,-2.356651570714557e-12,9.739819549917615e-13,-1.491263843937374e-11,-2.5937038530872338e-11,1.8249824626193974e-11,6.679929923807397e-12,6.391965193428754e-12,2.1911958672164892e-11,9.79885072834806e-13,-3.372987248460553e-13,2.7661271207505385e-13,-1.3484440371489053e-11,-4.476747486600393e-11,2.794448667882477e-11,1.1687523971174112e-11,7.946086001389319e-12,2.958722861979756e-11,1.4344579024351163e-11,-2.0265704509390644e-13,1.505616790893414e-12,-1.857491178989494e-11,-3.434358485649759e-11,2.4383052870150728e-11,1.5411255106593123e-11,2.0948181436123898e-11,1.739576210084614e-11,4.333253435609082e-12,8.254020170327499e-13,2.9757909227466024e-12,-1.5898947507483394e-11,-4.428250644998182e-11,2.152597363694856e-11,-6.679425173035088e-13,7.154185558849417e-12,1.0900276670463093e-11,1.4900354514912583e-11,2.0935896363598397e-13,8.143466650843677e-13,-1.4167461885054192e-11,-4.537725062451938e-11,9.068847602220217e-12,-6.318795212110037e-12,-8.158501501832286e-12,2.079601749060518e-11,7.365917494446526e-12,1.7803152379494088e-12,-5.485932936124635e-14,-1.6838710067671118e-11,-1.3785425694447556e-11,-1.6035820789834213e-11,-1.9398800420865183e-11,-1.0974860806923595e-11,-5.31786708703087e-13,-1.3040482344137037e-11,4.1399984587850663e-13,5.259523524680742e-12,-1.5017031679731153e-11,-9.523763388388852e-12,-8.019497851055598e-12,-1.0332663263837803e-11,-1.26374667831967e-11,-4.136528538681141e-13,-5.7927151358765304e-12,-2.0069576597312468e-12,-5.356016057520272e-12,9.336621012522784e-12,4.829192821531464e-11,1.1231563981934552e-11,9.771522746723173e-12,1.6843171218924224e-13,-1.0931189419892378e-11,-9.433225820855956e-12
treat_p4,6.197392891477017e-13,1.9697725554411024e-13,1.821311633371481e-12,2.4401045582102554e-12,2.421001777714906e-12,1.8673642232943736e-12,-1.6761324734008144e-12,9.798850728346752e-13,8.565802928593154e-12,4.4294167929929995e-13,3.198197327182134e-13,1.2325768564374008e-12,3.5799209431823133e-12,-1.0063587133571605e-12,-9.017666580986104e-13,-2.4940682500142825e-12,1.555725966100184e-12,2.169132363893695e-12,3.9529700093214135e-13,7.213539082350277e-13,1.8838468248334068e-12,1.3108713690574931e-12,-1.3443951233373228e-12,1.7495460033414816e-12,-2.383834109875692e-12,2.222141471543739e-13,6.0554830532205006e-12,4.042037219959263e-13,4.1326645982164855e-14,1.840420379767491e-12,1.865516519252085e-12,-3.3315827379738155e-12,4.640887937362955e-13,-2.088514732837174e-12,2.2052496401038527e-13,1.0407184480493921e-12,4.586367664570379e-13,4.828691260098745e-13,1.0736548650490594e-12,7.372145652374633e-13,-3.138348814364395e-12,5.858352011521935e-13,-2.0912003998383173e-12,-1.3262648948311845e-12,2.52726030421285e-12,-6.819808250442683e-15,-6.524584731204158e-13,1.1806276480232775e-12,2.083972075171188e-12,5.61779520398877e-12,3.3100113851863596e-12,-1.4455622380906623e-12,2.644029527954198e-12,1.9516689541126246e-12,2.2203445049082756e-14,-1.1900044613135862e-12,2.3772704572598596e-12,8.920993932939476e-13,5.3361310711991305e-12,3.370357195365038e-13,1.3745753680967114e-12,1.916711902742462e-12,2.4005358308124897e-12,4.5035851566894994e-13,1.1753164768729545e-12,4.956004072876999e-13,-2.038558832167522e-12,2.738096493003133e-13,2.367478370422911e-12,6.899606256183742e-12,3.1881370231536744e-12,4.733204052455421e-13
L4treat_m4,1.7145018557264085e-13,1.4153935131486694e-13,6.279929073592933e-13,1.4148835947958994e-12,-6.575901820899234e-13,-2.3883822154719884e-13,-1.1051368050416034e-13,-3.372987248460859e-13,4.429416792992817e-13,3.272097615249319e-13,1.700187593691268e-13,8.239153667981544e-13,2.261384713598963e-12,-1.2974196602111926e-12,-6.768574362524552e-13,-1.3174299400320858e-12,-9.699187907989519e-13,4.43586481562912e-13,2.1074310343783878e-13,1.4342851407261378e-13,1.0381484132198247e-12,1.5997710179137244e-12,-7.198894812072937e-13,-2.387890719649905e-13,-3.385535439750855e-13,-6.321039223813198e-13,4.1119729926349236e-13,2.845687628664593e-13,5.871542197253066e-14,8.907775020990534e-13,1.5854112471159465e-12,-5.901632860213754e-13,6.346666263063849e-13,2.703499234058508e-13,-4.0024402532343133e-13,5.130063434586209e-13,3.4299669166345464e-13,1.7180236794396241e-13,6.611216511160639e-13,1.8711274648995226e-12,1.5812116323534728e-13,1.1191292919806854e-12,8.412273843816931e-13,1.2932480810903665e-13,6.171314724501644e-13,-2.173699565299909e-14,-1.3634233910256274e-13,6.144951177514732e-13,9.9615123797387e-13,8.266612519557019e-13,1.659524517242444e-12,2.0184743909228876e-13,7.482623526223978e-13,9.645135425355752e-13,4.6694901239696164e-14,-1.652672838130487e-13,7.806680331803178e-13,3.4331286888788513e-13,5.451551462871273e-13,9.678183161089561e-13,5.424228234428327e-14,8.28975486749471e-13,3.2136326473670533e-13,1.3067468002146487e-14,3.2158997617029965e-13,-2.8227642021505454e-13,-2.1910216174091108e-12,-8.136286883381544e-13,-7.402382338447008e-13,4.65836776457311e-14,1.7150496042711246e-13,1.834385954104817e-13
L4treat_m3,4.1707194219958036e-14,3.1203171641350453e-13,-9.392809940881739e-14,-2.4698488533151146e-13,1.7190980999592432e-13,-3.303430828174303e-13,7.914469358796567e-15,2.766127120751511e-13,3.198197327182717e-13,1.7001875936912432e-13,4.944534807634574e-13,2.570470562750597e-13,-1.4582363667167408e-12,2.4891488762810015e-13,-5.922015542007167e-13,-1.0603884029521417e-12,-1.1919782738367734e-12,2.4941880588081217e-13,2.6257105228386164e-13,5.899179423349308e-13,-9.40620932896714e-14,-1.1059938931222754e-12,8.840849095246203e-13,-1.2547808593595619e-12,-6.880275112668872e-13,-1.240882943682506e-12,-1.6146511944010665e-12,3.3994284053492697e-13,5.96018839238928e-13,-2.1546695887441086e-13,-1.233595208515253e-12,1.6480159848196904e-12,-7.043034987159837e-13,-3.3795689664657096e-14,-1.7993757089458373e-12,2.8514450362463674e-13,1.771362794023237e-13,3.6034736179239623e-13,-6.593194477199442e-14,-2.748776803880115e-13,1.6774620105237639e-12,2.3873924695678553e-13,-3.233473406569795e-13,2.680046833087338e-13,-1.3428566537142948e-13,4.532811477995986e-14,-2.7083540948616633e-14,-3.7116925493652165e-13,-8.473203847670956e-14,9.765622879949007e-13,5.748378589598349e-13,-5.736763936512013e-13,2.0530306773886412e-13,3.3411212422316643e-13,6.451304468062653e-14,2.350969449685163e-13,-7.580265045759853e-14,-8.62295685842846e-13,8.745896943492933e-13,6.164773717366738e-14,-9.18271971846691e-13,5.882788267230336e-13,-5.024900271204756e-13,-2.256511425960264e-13,-6.106240595459121e-13,-4.112394578323301e-13,5.900044493487049e-13,-9.344663445026181e-13,-1.7363626686615694e-13,4.772148544098003e-13,3.8983157191493667e-13,3.1349419922725575e-13
L4treat_m2,2.488944026192694e-12,-1.0167811778654695e-12,1.636099251387287e-11,2.9250154059627076e-11,-1.5169726178510527e-11,-1.9625471876636496e-12,3.0715793140549955e-13,-1.348444037148915e-11,1.232576856437136e-12,8.239153667981372e-13,2.5704705627521166e-13,1.61573566825391e-11,4.5806800523959816e-11,-2.3340742021080148e-11,-6.5563711916109436e-12,-5.967011686439684e-12,-2.1087412963996865e-11,-1.2845409453940251e-11,4.1731799909691864e-13,-1.574456769374731e-12,1.977066745133005e-11,3.380391816244233e-11,-2.1575753747687886e-11,-1.0769003025578074e-11,-1.4917874607675738e-11,-1.0802290926004168e-11,-1.5578213121131887e-12,-6.716863288013424e-13,-2.9026901836016045e-12,1.8264964229056664e-11,4.28774644185315e-11,-2.0911811939471228e-11,2.9861871658571765e-12,-1.8137836805559317e-12,-5.72862936621688e-12,-1.0542043211170073e-11,-2.65491362566316e-14,-6.5225131995004e-13,1.6080818111413957e-11,4.5025237940979464e-11,-8.58186138961217e-12,1.0540501365404262e-11,1.0920709549803548e-11,-1.2593077698642184e-11,-4.884613816764523e-12,-1.2388454025605738e-12,-1.9094694243407683e-13,1.5905147766471695e-11,1.5222709497042083e-11,1.9226436334395e-11,2.1510043288231253e-11,1.2086003484159146e-11,4.5465476993469e-12,1.5182036104563994e-11,-4.984941908538157e-13,-5.828830137635517e-12,1.5239389880168216e-11,8.352683302621945e-12,7.184121568734902e-12,1.5329285169038964e-11,1.3405630669187702e-11,2.7836275153426846e-12,7.0214018869980216e-12,2.0237732587496918e-12,6.717329190557699e-12,-7.84501831621274e-12,-4.561783753206872e-11,-8.636512620890238e-12,-9.178286185789646e-12,2.2167519533051214e-12,1.037513193454759e-11,1.1188246377401228e-11
L4treat_m1,7.952391814079734e-12,-4.731706985459991e-12,4.93696920819306e-11,9.663785161244674e-11,-4.407877193554316e-11,-3.035725168932981e-12,-2.919758796182073e-12,-4.4767474866004276e-11,3.5799209431820104e-12,2.261384713598902e-12,-1.4582363667168823e-12,4.580680052395964e-11,1.6195202728208346e-10,-7.347956870223833e-11,-1.8529786403533437e-11,-1.522253247228649e-11,-6.005214947983874e-11,-4.283170914414798e-11,6.299560978126637e-13,-7.704871842438502e-12,6.34539275931589e-11,1.210936545197434e-10,-6.79581738381431e-11,-1.970124270151919e-11,-4.0784284471472623e-11,-2.4602221493281123e-11,6.28536601962506e-12,-3.0124195889110764e-12,-1.2608904467257429e-11,5.7728127918318605e-11,1.449596416428881e-10,-7.24623343434365e-11,1.936683432264223e-11,-4.2644246674037314e-12,-8.242732267090376e-12,-3.283777878766106e-11,1.0700138665260977e-12,-3.3266100844086905e-12,4.926261691413001e-11,1.4550041795909668e-10,-2.8002669369915212e-11,3.903208079000869e-11,4.3587851644166594e-11,-3.783626660910014e-11,-1.0307193030166314e-11,-5.370792948195548e-12,-1.1348309113476302e-12,5.199783141967781e-11,4.887051030941312e-11,5.5987310788094154e-11,7.054754092775598e-11,4.016314782415779e-11,1.840682813146228e-11,4.469879980483317e-11,-1.867767242698926e-12,-2.021122220955445e-11,4.8758004455391775e-11,3.490278981023204e-11,2.5034269513664373e-11,4.825116728836155e-11,4.764392477290912e-11,8.070586974137202e-12,2.5700709899770857e-11,7.429610422148459e-12,2.4851200223971783e-11,-2.161604060706074e-11,-1.5335105814532203e-10,-2.7645379317988992e-11,-2.912206332572264e-11,5.542582574499241e-12,3.341710825221975e-11,3.653981086632791e-11
L4treat_p0,-3.6017401459474144e-12,1.870206397092207e-12,-2.395808609196097e-11,-4.4782275127452074e-11,2.998406655975415e-11,8.546700185076748e-12,6.282777723043245e-12,2.7944486678824888e-11,-1.0063587133570797e-12,-1.2974196602111157e-12,2.4891488762812266e-13,-2.3340742021080358e-11,-7.347956870223853e-11,4.9556235728535136e-11,1.5357918635681986e-11,1.4081136505945926e-11,3.922874854972429e-11,1.8479371628951166e-11,-4.458317623336655e-13,2.4864236470455757e-12,-3.146240959819267e-11,-5.496965899673093e-11,4.137857697105316e-11,1.9743591901693546e-11,2.9667729575038055e-11,1.992817468456535e-11,1.7865658419913867e-12,1.2065857733210818e-12,4.5428738515098286e-12,-2.839304837384678e-11,-7.180530071648301e-11,3.8598579913346726e-11,-2.0302266525869407e-12,9.931208616226931e-12,1.199826742829082e-11,2.138957519536914e-11,-1.8534993195081188e-13,6.526260324073639e-13,-2.5026165560746292e-11,-7.354882189806103e-11,2.0847390965734635e-11,-1.1301172216283991e-11,-1.5225855155943556e-11,2.6312080015395608e-11,1.061505702275441e-11,2.19088663460988e-12,-1.888706438675487e-13,-2.698888459098898e-11,-2.2970393712414912e-11,-2.5736118657049107e-11,-3.466946327968742e-11,-1.8678926959043006e-11,-5.945017032058433e-12,-2.5389507558026105e-11,5.514986238074026e-13,9.340498990157207e-12,-2.4083786779121817e-11,-1.397839757887785e-11,-1.0983887906648504e-11,-2.018741918396244e-11,-2.2160283682744612e-11,-3.886170593166449e-12,-9.894939821404976e-12,-3.0058723444311315e-12,-9.743493786816015e-12,1.3720699872627702e-11,7.67996310302232e-11,1.3923316854226118e-11,1.565965717837914e-11,-1.84967328282822e-12,-1.6332700122604857e-11,-1.6590314472315187e-11
L4treat_p1,-1.4507227170548818e-12,-5.602407162099065e-13,-7.1037882935024125e-12,-1.0412831880828568e-11,1.2258879800159367e-11,8.03896844201922e-12,5.627085258360197e-12,1.168752397117409e-11,-9.017666580986555e-13,-6.768574362524069e-13,-5.922015542007435e-13,-6.556371191610917e-12,-1.8529786403533094e-11,1.5357918635681815e-11,1.455054036158562e-11,6.0181697238353465e-12,1.7621442406784553e-11,8.11704844504944e-12,-6.80726640488258e-13,-7.970111762423405e-13,-1.0228796498929161e-11,-1.499571852049209e-11,1.0082447385242544e-11,1.4952026079131038e-11,1.2498355546088896e-11,9.170081884878009e-12,2.295879570913594e-12,-4.2733864609758856e-13,2.491547206538405e-13,-7.34596840035235e-12,-2.1166055701002366e-11,9.391129648324323e-12,6.21637733580585e-12,5.5540539658194435e-12,6.8737146257243316e-12,6.2981048461419036e-12,-1.4503906324977957e-13,-3.5985313286536036e-13,-6.734154959229599e-12,-2.162284148257955e-11,5.272363903534135e-12,-3.6407575602851827e-13,-1.0351848925628034e-12,1.0015652492896056e-11,5.679013098534722e-12,7.525166272979326e-13,6.47925989453721e-14,-8.383612281796403e-12,-8.077183925585453e-12,-9.101034883672157e-12,-7.0012018161044415e-12,-2.141384271976222e-12,-1.0966539318880262e-13,-6.184307573726593e-12,1.4821189287178894e-13,1.5495853786881134e-12,-8.710342191081316e-12,-2.203820059756832e-12,-3.336511060979222e-12,-3.730707404352001e-13,-1.6092884560178846e-12,-4.913923599470775e-13,-3.2997404651684815e-12,-7.342025552974685e-13,-1.224025434744711e-12,5.745617163174258e-12,2.321019427888465e-11,5.2938423386614994e-12,1.6899363408303183e-12,-3.1284907412948136e-12,-5.5932925011895375e-12,-4.381062682218527e-12
